adig;addig
csobojó;csobolyó
dagáj;dagály
duhaly;duhaj
eréj;erély
erkéj;erkély
eséj;esély
fekéj;fekély
feszéjez;feszélyez
fogoj;fogoly
folytogat;fojtogat
fojik;folyik
fojjon;folyjon
follyon;folyjon
fojosó;folyosó
fojtat;folytat
fojtatólagos;folytatólagosan
fojton;folyton
fojvást;folyvást
furuja;furulya
gajj;gally
gerej;gerely
gerendej;gerendely
gója;gólya
gomoj;gomoly
guzsaj;guzsaly
gyűlyt;gyűjt
harkáj;harkály
hélya;héja
hodáj;hodály
homáj;homály
ilyed;ijed
ij;ily
ijen;ilyen
ispotáj;ispotály
kájha;kályha
karabéj;karabély
karaly;karaj
karvaj;karvaly
kesej;kesely
kétej;kétely
kevéj;kevély
kiráj;király
köjök;kölyök
lapáj;lapály
lesúlyt;lesújt
messzej;messzely
mijen;milyen
minnyá;mindjárt
mingyá;mindjárt
mohoj;moholy
mosoj;mosoly
muja;mulya
hodáj;nadály
némej;némely
nyály;nyáj
ojan;olyan
osztáj;osztály
póhoj;páholy
pája;pálya
papagály;papagáj
paraly;paraj
paszuj;paszuly
pendej;pendely
persej;persely
pikkej;pikkely
ragáj;ragály
ráspoj;ráspoly
rejtéj;rejtély
robaly;robaj
rostéj;rostély
röhely;röhej
sávoj;sávoly
segéj;segély
sekéj;sekély
sejem;selyem
sipoj;sipoly
súj;súly
sújos;súlyos
süjjed;süllyed
süjjeszt;süllyeszt
szabáj;szabály
szentéj;szentély
tarsoj;tarsoly
iartáj;tartály
tavaj;tavaly
téboj;téboly
tégej;tégely
tengej;tengely
topoj;topoly
tökéj;tökély
uszáj;uszály
ünnepéj;ünnepély
valyon;vajon
vájú;vályú
váju;vályú
vályu;vályú
veszéj;veszély
veszéjes;veszélyes
villyog;vijjog
viszáj;viszály
vőféj;vőfély
zugoj;zugoly
zsámoj;zsámoly
zsivaly;zsivaj
zsöjje;zsöllye
